Actual_quantity,Country,Created_date,Invoice_date,Master_data,Old_SKU_name,Requested_date,SKU_number,Shipped_date,Supplier
,,,,['recS51eaOLdaBjJ1s'],,,POWER CUSTOM COLOR- Wow Copper (6-10 wk),,
1,Belgium,22/06/2019,22/06/2019,,Ahooga Modular Bike - 36V - 8S (4-8 weeks),22/06/2019,AH-MOD-36V-8S,22/06/2019,
,,,,['recUiP2w6WFtzTWuQ'],,,Ahooga Folding Bike - Power+ - custom colour purple - Scienta R3,,
,,,,['recT8RQCQTV1gvzwL'],,,Cycling Gloves THERMO L,,
1,France,28/03/2019,28/03/2019,,Rear Carrier for Ahooga Folding B i k e,28/03/2019,AH-POW-ACC-CARRIER,28/03/2019,
1,Belgium,18/06/2019,18/06/2019,,Abus Lock Iven 8210/110,18/06/2019,303647,18/06/2019,AGU
1,Belgium,21/06/2019,21/06/2019,,Riser handlebar 20mm,21/06/2019,AH-MOD-RIS20,21/06/2019,
1,Belgium,09/03/2019,09/03/2019,,BLB Phil Tenacious Oil - 4Oz.,09/03/2019,TLW3501,09/03/2019,BLB
1,Belgium,26/03/2019,26/03/2019,,BEBAT Main battery,26/03/2019,BEBAT1,26/03/2019,
,,,,['receuNleBcYrdm8oC'],,,Custom Color (6-10 weeks) : jaw drop charcoal,,
1,Belgium,25/01/2019,25/01/2019,,Hybrid Battery 24V/7Ah UPGRADE,25/01/2019,AH-FOL-HYB-BAT-7Ah UPGRADE,25/01/2019,UBW ZRT
1,Belgium,20/07/2019,20/07/2019,,Klickfix Stem/Caddy,20/07/2019,414096,20/07/2019,AGU
1,Belgium,26/02/2019,26/02/2019,,Klickfix Extender,26/02/2019,0211XSET,26/02/2019,AGU
1,Belgium,16/04/2019,16/04/2019,,Schwalbe Marathon Plus,16/04/2019,A1-2011,16/04/2019,UBW
1,Belgium,11/01/2019,11/01/2019,,Shopper Plus BLACK,11/01/2019,0300bs,11/01/2019,AGU
1,France,04/07/2019,04/07/2019,,Small Goods Shipping,04/07/2019,SHIPPING SMALL PARCEL,04/07/2019,DPD
,,,,['rec40QOS6ip9uDRKb'],,,MODULAR Klickfix Radkiste Cargo,,
1,Germany,03/06/2019,03/06/2019,,Upgrade Marathon Plus,03/06/2019,AH-FOL-OPT-MAR+,03/06/2019,
