,Actual_quantity,Customer,Product_group,Product_family,Country,New_SKU_Name,Created_date_month,Created_date_year
217,1,,Bike,Push 1.5,Germany,Ahooga Folding Bike - Push/Comfort+ - Wall Mc Blue,2,2019
218,1,UBW ZRT,Component,Other,Belgium,Other,3,2019
219,1,UBW ZRT,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,3,2019
220,1,,Component,Other,Belgium,Other,7,2019
221,1,Greenway,Component,Other,France,Other,3,2019
222,1,,Component,Other,Belgium,Other,7,2019
223,1,AGU,Component,Other,Belgium,Other,7,2019
224,1,,Component,Other,Belgium,Other,2,2019
225,1,AGU,Component,Other,Belgium,Other,3,2019
226,1,,Component,Other,Belgium,Other,6,2019
227,1,UBW,Component,Other,Belgium,Other,3,2019
228,1,,Component,Other,Belgium,Other,6,2019
229,1,,Component,Other,France,Other,6,2019
230,1,,Component,Other,Belgium,Other,5,2019
231,1,,Component,Other,Belgium,Other,3,2019
232,1,UBW ZRT,Component,Other,Belgium,Other,3,2019
233,1,AGU,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,3,2019
234,10,UBW ZRT,Component,Other,Belgium,Other,2,2019
235,1,,Component,Other,France,Other,5,2019
236,1,UBW,Component,Other,Spain,Other,2,2019
237,1,,Component,Other,Belgium,Other,5,2019
238,1,,Component,Other,Belgium,Other,7,2019
239,1,DPD,Component,Other,Belgium,Other,4,2019
240,1,,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,3,2019
241,1,,Bike,Other,Belgium,Ahooga Modular Bike - 36V - 8S,6,2019
242,1,,Component,Other,Belgium,Other,5,2019
243,1,UBW ZRT,Component,Other,Belgium,Other,7,2019
244,1,,Component,Other,Belgium,Other,6,2019
245,1,UBW,Component,Other,Belgium,Other,7,2019
246,1,,Bike,Hybrid 24V,Belgium,Ahooga Folding Bike - Hybrid/Comfort+ - Wall Mc Blue,6,2019
247,1,,Bike,Other,Belgium,Ahooga Folding (Hybrid) Bike - Style+ - Jaw Drop Charcoal,4,2019
248,1,,Component,Other,Belgium,Other,6,2019
249,1,Ahooga Sprl,Component,Other,Belgium,Other,5,2019
250,1,,Component,Other,Belgium,Other,5,2019
251,1,,Component,Other,Belgium,Other,7,2019
252,1,,Component,Other,Belgium,Other,2,2019
253,1,DPD,Component,Other,Belgium,Other,7,2019
254,1,UBW ZRT,Component,Other,Belgium,Other,3,2019
255,1,AGU,Component,Other,Belgium,Other,6,2019
256,1,,Component,Other,Belgium,Other,4,2019
257,1,,Component,Other,Ireland,Other,3,2019
258,1,UBW,Component,Other,Belgium,Other,3,2019
259,1,AGU,Bike,Power 36V,Belgium,Ahooga Folding Bike - Power+ - OMG Silver,5,2019
260,1,,Component,Other,Belgium,Other,5,2019
261,1,,Component,Other,Belgium,Other,6,2019
262,1,,Component,Other,Belgium,Other,5,2019
263,1,UBW ZRT,Component,Other,Belgium,Other,4,2019
264,1,,Component,Other,Belgium,Other,6,2019
